Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723645	88	0	0	0	0	179650	193004	0	1418424	5103165	0	12432	0	237030	1329	708298	569	4	373	6	30
1771723646	89	0	0	0	0	179323	341764	0	1763192	5116351	0	12574	0	238050	1341	708698	573	4	381	8	37
1771723647	90	0	0	0	0	175913	472604	0	1982024	5136130	0	12804	0	238770	1351	708868	574	4	381	6	29
1771723648	91	0	0	0	0	183217	349344	0	1778816	5142723	0	12856	0	240291	1369	709164	578	5	390	8	37
1771723649	92	0	0	0	0	179326	482872	0	2002532	5162502	0	13086	0	242667	1380	709226	579	5	390	6	29
1771723650	93	0	0	0	0	253973	570748	0	2371204	5188874	0	13368	0	251151	1426	723126	609	5	396	10	39
1771723651	94	0	0	0	0	178899	489396	0	2065016	5188874	0	13368	0	251429	1429	723126	609	5	405	10	39
1771723652	95	0	0	0	0	183226	343760	0	1718808	5202060	0	13508	0	251878	1435	723224	610	5	405	5	28
1771723653	96	0	0	0	0	174981	477516	0	2041580	5208653	0	13560	0	252244	1441	723322	611	5	414	10	39
1771723654	97	0	0	0	0	179804	484328	0	2005460	5228432	0	13790	0	252773	1449	723420	612	5	414	6	29
1771723655	98	0	0	0	0	242718	556412	0	2366316	5254804	0	14070	0	253053	1454	723420	612	5	417	10	39
1771723656	99	0	0	0	0	180840	495088	0	2076740	5254804	0	14070	0	253307	1458	723518	613	5	426	10	39
1771723657	100	0	0	0	0	180302	485804	0	2008388	5267990	0	14210	0	253638	1463	723518	613	5	426	6	29
1771723658	101	0	0	0	0	177909	486316	0	2059160	5274583	0	14262	0	257499	1484	733382	623	5	434	10	39
1771723659	102	0	0	0	0	180782	487256	0	2011316	5294362	0	14492	0	263164	1510	740804	639	5	434	6	29
1771723660	103	0	0	0	0	248401	569928	0	2411424	5320734	0	14774	0	270370	1539	743088	655	5	438	10	42
1771723661	104	0	0	0	0	179400	490728	0	2092544	5320734	0	14774	0	271831	1546	743174	656	5	450	10	42
1771723662	105	0	0	0	0	181274	488732	0	2014244	5333920	0	14914	0	273318	1555	743174	656	5	450	6	29
